Section ID,Roughness,Rutting,Cracking,Potholes,Bleeding,Raveling,Thickness Deficiency,Subsurface Cracking
Sample_125,1.840999961,3,52,0,0,0,56.93079184,100
Sample_126,1.409000039,3,19,0,0,0,-1.72246E-16,100
Sample_127,1.486999989,4,19,0,0,0,6.8317E-16,100
Sample_128,1.174000025,14,5,0,25.67567568,0,100,67.5
Sample_129,1.021000028,5,10,0,1.841216152,0,98.68047895,67.5
Sample_130,1.164999962,8,0,0,18.39527053,0,34.50822709,86.25533849
Sample_131,1.029999971,5,8,0,0,0,60.3427827,86.25533849
Sample_132,1.110999942,12,0,0,25.76013514,0,15.41946979,67.5
Sample_133,1.006000042,4,2,0,0,0,84.40948414,86.25533849
Sample_134,0.822000027,5,5,0,0,0,69.78655824,67.5
Sample_135,0.785000026,7,18,0,0,0,70,86.25533849
Sample_136,0.86500001,6,17,0,0,0,100,86.25533849
Sample_137,0.967999995,10,11,0,6.148648906,0,6.8317E-16,86.25533849
Sample_138,0.791999996,5,9,0,0,0,37.88270932,67.5
Sample_139,0.912,5,2,0,0,0,92.99560913,67.5
Sample_140,1.774000049,14,0,0,51.52027027,0,6.8317E-16,40
Sample_141,1.347000003,4,0,0,0,0,6.8317E-16,40
Sample_142,0.999000013,7,1,0,0,0,6.8317E-16,40
Sample_143,1.070000052,4,1,0,0,0,6.8317E-16,40
Sample_144,0.958999991,6,0,0,0,0,6.8317E-16,100
Sample_145,0.986999989,5,0,0,0,0,21.74683423,26.77228363
Sample_146,0.921000004,6,0,0,0,0,6.8317E-16,67.5
Sample_147,0.944000006,5,0,0,0,0,6.8317E-16,40
Sample_148,0.970000029,5,0,0,0,0,6.8317E-16,40
Sample_149,1.19599998,5,10,0,0,0,100,67.5
Sample_150,1.419999957,6,10,0,0,0,100,86.25533849
Sample_151,1.58099997,5,1,0,0,0,24.78340174,67.5
Sample_152,1.878000021,6,0,0,51.52027027,0,2.829101704,40
Sample_153,1.217000008,3,20,0,0,0,96.96011234,100
Sample_154,1.001999974,3,0,0,0,0,33.39348435,100
Sample_155,0.968999982,2,0,0,0,0,55.32977499,100
Sample_156,1.195000052,5,0,0,0,0,93.82019748,86.25533849
Sample_157,0.954999983,3,0,0,0,0,6.8317E-16,67.5
Sample_158,1.00999999,2,0,0,0,0,44.27260058,100
Sample_159,1.118000031,3,0,0,0,0,100,100
Sample_160,1.003999949,2,0,0,0,0.320945942,95.34614588,100
Sample_161,1.082999945,3,0,0,0,0,97.29727764,100
Sample_162,0.998000026,3,0,0,0,0,4.21639E-16,86.25533849
Sample_163,0.987999976,3,0,0,0,0,26.74382495,100
Sample_164,0.953999996,2,0,0,0,0,6.8317E-16,100
Sample_165,0.833000004,2,0,0,0,0,46.59617488,67.5
Sample_166,0.958999991,5,2,0,0,64.39189395,15.56421002,100
Sample_167,1.05400002,4,9,0,0,80.94594801,27.56627302,100
Sample_168,0.984000027,4,43,0,0,68.12499794,100,100
Sample_169,0.963999987,6,35,0,0,56.01351454,32.53396709,86.25533849
Sample_170,1.110999942,6,44,0,0,40.11824324,100,100
Sample_171,1.125,4,6,0,0,74.15540541,47.44481169,100
Sample_172,1.281000018,4,45,0,0,6.85810785,97.56141175,100
Sample_173,1.139999986,3,2,0,0,16.23310785,100,100
Sample_174,0.95599997,3,35,0,0,62.88851145,6.8317E-16,100
Sample_175,0.957000017,4,22,0,0,66.52026821,6.8317E-16,100
Sample_176,0.902999997,4,11,0,0,67.7871601,28.41983047,67.5
Sample_177,0.950999975,4,2,0,0,0,18.98389732,100
Sample_178,1.139000058,4,0,0,0,0,18.53591312,100
Sample_179,1.463000059,9,0,0,0,0,100,100
Sample_180,1.06400001,7,0,0,0,0,53.84363364,86.25533849
Sample_181,1.162999988,6,0,0,0,0,100,100
Sample_182,0.95599997,8,0,0,0,0,32.83895079,100
Sample_183,0.99000001,6,0,0,0,0,98.62981538,100
Sample_184,0.697000027,4,0,0,0,0,61.82244893,100
Sample_185,0.806999981,3,0,0,0,0,97.68638829,100
Sample_186,0.806999981,5,0,0,0,0,6.8317E-16,100
Sample_187,1.008999944,5,0,0,0,0,98.29269393,100
Sample_188,1.138000011,6,0,0,0,0,100,100
